set Segments := 0 1 2 3 4 5 6 7 8 9 10;

param A :=
0	0
1	22.12097
2	20.88915
3	19.81540
4	18.88125
5	18.06276
6	17.33284
7	16.66875
8	16.06644
9	15.51599
10	15.00096
;

param B :=
0	0
1	-0.52900
2	-0.28633
3	-0.01768
4	0.27276
5	0.58505
6	0.92127
7	1.28706
8	1.67886
9	2.09610
10	2.54601
;

param LowerBound :=
0	0
1	0.15000
2	0.19700
3	0.25020
4	0.31091
5	0.38154
6	0.46064
7	0.55080
8	0.65050
9	0.75799
10	0.87357
;

param UpperBound :=
0	0.15000
1	0.19700
2	0.25020
3	0.31091
4	0.38154
5	0.46064
6	0.55080
7	0.65050
8	0.75799
9	0.87357
10	1.00000
;
